n,comparisons,movements
100,2732,2737
100,2660,2661
100,2641,2647
100,2569,2575
100,2449,2457
100,2393,2397
100,2573,2581
100,2535,2538
100,2412,2418
100,2602,2607
100,2550,2554
100,2605,2609
100,2885,2889
100,2396,2401
100,2667,2671
100,2635,2642
100,2329,2333
100,2791,2794
100,2793,2795
100,2685,2691
100,2490,2492
100,2537,2541
100,2517,2522
100,2417,2422
100,2482,2487
100,2608,2614
100,2710,2715
100,2677,2683
100,2421,2425
100,2607,2612
100,2670,2675
100,2490,2493
100,2689,2690
100,2447,2452
100,2692,2696
100,2671,2671
100,2537,2540
100,2687,2689
100,2544,2552
100,2356,2358
100,2577,2581
100,2214,2216
100,2400,2405
100,2779,2781
100,2763,2766
100,2674,2679
100,2622,2624
100,2216,2221
100,2720,2724
100,2728,2732
200,10283,10288
200,9625,9630
200,10546,10552
200,10885,10889
200,10528,10534
200,10674,10678
200,9560,9564
200,9445,9446
200,9958,9964
200,10051,10053
200,10139,10145
200,10760,10763
200,9685,9690
200,9553,9562
200,9980,9985
200,10328,10331
200,10816,10822
200,10123,10135
200,10174,10181
200,11677,11681
200,9794,9800
200,10608,10615
200,9388,9390
200,10476,10480
200,10987,10993
200,10269,10277
200,10136,10140
200,10939,10944
200,10255,10261
200,9889,9894
200,9704,9709
200,10829,10835
200,10144,10151
200,10836,10842
200,10260,10263
200,10143,10154
200,9774,9776
200,10103,10108
200,9405,9407
200,9582,9586
200,10664,10669
200,10178,10183
200,9623,9627
200,9469,9473
200,10676,10679
200,10018,10022
200,9838,9840
200,10100,10105
200,11138,11143
200,11100,11107
300,22445,22451
300,23512,23521
300,22997,23002
300,23908,23913
300,22677,22684
300,23524,23530
300,23368,23373
300,23448,23456
300,24115,24119
300,22930,22933
300,22901,22905
300,22761,22770
300,21198,21202
300,23100,23107
300,22906,22913
300,22776,22779
300,23699,23702
300,23978,23987
300,21795,21799
300,23399,23403
300,20620,20622
300,24208,24217
300,22493,22496
300,23016,23020
300,23292,23297
300,21949,21954
300,21994,21999
300,24214,24219
300,22371,22374
300,22501,22508
300,22543,22546
300,21584,21586
300,22483,22489
300,22255,22263
300,20724,20729
300,22808,22811
300,22682,22689
300,23114,23117
300,22395,22399
300,23413,23418
300,22762,22767
300,21734,21740
300,22607,22610
300,21826,21834
300,23339,23345
300,22760,22765
300,22890,22892
300,22540,22545
300,22903,22908
300,21266,21275
400,39800,39803
400,39599,39600
400,39319,39327
400,39810,39816
400,40780,40789
400,41230,41235
400,43161,43164
400,38526,38531
400,41582,41590
400,39509,39516
400,40578,40584
400,38855,38862
400,41038,41045
400,41494,41499
400,39585,39593
400,39627,39631
400,40528,40533
400,39322,39325
400,39593,39602
400,39833,39838
400,41380,41387
400,42183,42187
400,39719,39723
400,41699,41705
400,40010,40018
400,40271,40276
400,40391,40398
400,37918,37924
400,42635,42637
400,39226,39230
400,41046,41052
400,44071,44076
400,38986,38992
400,41665,41670
400,40709,40713
400,41848,41850
400,40908,40914
400,38349,38356
400,41827,41837
400,41242,41247
400,38507,38514
400,39289,39292
400,41242,41247
400,40989,40991
400,40646,40655
400,37923,37932
400,39666,39673
400,38559,38564
400,38558,38566
400,41831,41836
500,61500,61509
500,60246,60251
500,63276,63281
500,61891,61895
500,61300,61306
500,60879,60883
500,62002,62006
500,62935,62936
500,63365,63371
500,62280,62286
500,65370,65375
500,63054,63064
500,61511,61522
500,61334,61337
500,62887,62896
500,64543,64550
500,64379,64380
500,60983,60990
500,62679,62684
500,63545,63550
500,60756,60757
500,63499,63507
500,65235,65246
500,63824,63832
500,61058,61062
500,67109,67114
500,64035,64041
500,62162,62170
500,61776,61780
500,62568,62571
500,60812,60821
500,66108,66111
500,59812,59819
500,63868,63876
500,64157,64160
500,63545,63548
500,60762,60766
500,61165,61172
500,66576,66582
500,62080,62087
500,61789,61791
500,64715,64719
500,62470,62475
500,62843,62848
500,62518,62522
500,64344,64354
500,63257,63265
500,63332,63337
500,58239,58244
500,64850,64856
600,91338,91344
600,91781,91782
600,93477,93485
600,92286,92292
600,89800,89802
600,90993,90998
600,91262,91267
600,94793,94800
600,95328,95331
600,94846,94852
600,95126,95130
600,92574,92578
600,89356,89365
600,88705,88712
600,88643,88645
600,89328,89334
600,92785,92791
600,89343,89352
600,90758,90764
600,92639,92645
600,87680,87686
600,89936,89942
600,91429,91435
600,90093,90100
600,92623,92627
600,89109,89113
600,89296,89304
600,88578,88581
600,93169,93174
600,92261,92266
600,90020,90028
600,92040,92048
600,93189,93197
600,89956,89963
600,92321,92327
600,93937,93942
600,90988,90992
600,90248,90252
600,91101,91105
600,88822,88826
600,86536,86540
600,88191,88198
600,89290,89292
600,91660,91667
600,91608,91613
600,89193,89203
600,88551,88557
600,90458,90463
600,89055,89062
600,89372,89377
700,125007,125017
700,122992,123000
700,128647,128656
700,124062,124066
700,123152,123156
700,122116,122125
700,128182,128185
700,117860,117867
700,122891,122896
700,127766,127774
700,124905,124911
700,123743,123748
700,125997,126006
700,122996,123006
700,124427,124430
700,124729,124738
700,125546,125549
700,123729,123733
700,125912,125919
700,122337,122342
700,128110,128117
700,122728,122736
700,123016,123022
700,120735,120737
700,122165,122172
700,120525,120534
700,123415,123423
700,122199,122202
700,124315,124322
700,126088,126092
700,122126,122133
700,124036,124039
700,120409,120417
700,123082,123086
700,123319,123326
700,125040,125048
700,123044,123048
700,123620,123625
700,125185,125192
700,120693,120699
700,127155,127163
700,121281,121290
700,123843,123845
700,126939,126940
700,120945,120951
700,123271,123274
700,124534,124539
700,123699,123710
700,120564,120572
700,126482,126491
800,154405,154411
800,160136,160142
800,159733,159739
800,154216,154221
800,156412,156418
800,156673,156677
800,157430,157435
800,156683,156690
800,159670,159672
800,157124,157131
800,160783,160787
800,162844,162849
800,159829,159832
800,163394,163397
800,158849,158854
800,157560,157566
800,148843,148849
800,156914,156920
800,158664,158671
800,157534,157537
800,163066,163073
800,160210,160216
800,165915,165919
800,163330,163339
800,155446,155453
800,158025,158034
800,163092,163103
800,161595,161601
800,156209,156213
800,158053,158060
800,157857,157861
800,165173,165183
800,160215,160223
800,166736,166744
800,162396,162405
800,154033,154039
800,160391,160395
800,162382,162391
800,161502,161506
800,160780,160785
800,157795,157803
800,155574,155581
800,164127,164133
800,163868,163871
800,161505,161514
800,154531,154537
800,158686,158689
800,163125,163128
800,150475,150480
800,153958,153964
900,206060,206065
900,205395,205402
900,208665,208669
900,197578,197586
900,203657,203662
900,200766,200775
900,199488,199500
900,190066,190075
900,202572,202579
900,202041,202051
900,201543,201549
900,199344,199351
900,216354,216360
900,207449,207457
900,205400,205407
900,200736,200741
900,205220,205230
900,199149,199163
900,202107,202113
900,197417,197422
900,199347,199354
900,198203,198210
900,198228,198232
900,201297,201302
900,200837,200845
900,204508,204515
900,204925,204931
900,204942,204948
900,205333,205343
900,210208,210214
900,201249,201255
900,202494,202498
900,202865,202869
900,209733,209739
900,210844,210849
900,204557,204564
900,204708,204712
900,202843,202849
900,202740,202747
900,204541,204546
900,198362,198369
900,197290,197292
900,208991,209001
900,211689,211697
900,214899,214900
900,205358,205366
900,204038,204041
900,201703,201707
900,204353,204356
900,205300,205309
1000,255470,255481
1000,243036,243041
1000,256209,256213
1000,247610,247611
1000,254080,254086
1000,249078,249084
1000,252356,252366
1000,250148,250156
1000,252768,252773
1000,257723,257728
1000,246258,246266
1000,251655,251659
1000,244621,244629
1000,241766,241774
1000,246751,246758
1000,259454,259461
1000,252937,252947
1000,250486,250491
1000,242906,242910
1000,254270,254275
1000,246588,246595
1000,252938,252944
1000,256729,256734
1000,247910,247917
1000,250559,250567
1000,242236,242242
1000,258205,258211
1000,251627,251633
1000,251037,251047
1000,249247,249252
1000,240679,240686
1000,247648,247653
1000,245853,245857
1000,257465,257472
1000,246009,246011
1000,243753,243756
1000,243539,243550
1000,249702,249710
1000,262760,262765
1000,251762,251766
1000,252025,252030
1000,252051,252059
1000,258768,258772
1000,259960,259970
1000,247159,247165
1000,258663,258671
1000,252254,252259
1000,255128,255139
1000,257211,257219
1000,250122,250127
1100,299641,299644
1100,305728,305737
1100,304268,304275
1100,301061,301069
1100,319655,319664
1100,301030,301034
1100,310515,310522
1100,306293,306299
1100,301755,301759
1100,299805,299812
1100,301825,301827
1100,298493,298502
1100,307080,307086
1100,281605,281610
1100,313505,313512
1100,305650,305663
1100,310377,310381
1100,312201,312205
1100,305148,305156
1100,292296,292303
1100,302550,302558
1100,304118,304120
1100,307099,307103
1100,313887,313895
1100,302201,302207
1100,301818,301826
1100,299378,299380
1100,304671,304677
1100,304434,304437
1100,299108,299112
1100,302244,302254
1100,298152,298157
1100,305137,305140
1100,297722,297726
1100,313146,313156
1100,303559,303562
1100,304499,304508
1100,304651,304658
1100,308990,308996
1100,298677,298681
1100,306679,306685
1100,311095,311104
1100,303679,303685
1100,304359,304362
1100,303749,303755
1100,303037,303039
1100,297061,297065
1100,287238,287241
1100,307942,307951
1100,301569,301573
1200,359450,359459
1200,366179,366186
1200,357440,357442
1200,357394,357401
1200,346781,346785
1200,376675,376683
1200,364407,364416
1200,357010,357015
1200,371006,371012
1200,356714,356724
1200,361470,361479
1200,366554,366564
1200,358981,358987
1200,364906,364915
1200,361605,361613
1200,369430,369443
1200,353401,353405
1200,367757,367763
1200,359232,359242
1200,359148,359157
1200,349454,349457
1200,361699,361703
1200,360506,360511
1200,367776,367784
1200,366010,366016
1200,380191,380202
1200,362165,362173
