n,rep,rounds
10,1,4
10,2,2
10,3,4
10,4,4
10,5,3
10,6,5
10,7,3
10,8,6
10,9,4
10,10,7
10,11,6
10,12,5
10,13,5
10,14,4
10,15,7
10,16,2
10,17,4
10,18,6
10,19,3
10,20,8
10,21,5
10,22,5
10,23,3
10,24,3
10,25,4
10,26,6
10,27,6
10,28,3
10,29,6
10,30,3
10,31,4
10,32,6
10,33,4
10,34,5
10,35,5
10,36,5
10,37,2
10,38,9
10,39,4
10,40,5
10,41,4
10,42,7
10,43,2
10,44,4
10,45,5
10,46,5
10,47,3
10,48,5
10,49,5
10,50,4
20,1,10
20,2,4
20,3,5
20,4,4
20,5,7
20,6,5
20,7,3
20,8,7
20,9,4
20,10,4
20,11,10
20,12,5
20,13,7
20,14,6
20,15,7
20,16,3
20,17,5
20,18,4
20,19,5
20,20,5
20,21,5
20,22,6
20,23,5
20,24,10
20,25,5
20,26,6
20,27,7
20,28,5
20,29,3
20,30,5
20,31,4
20,32,7
20,33,4
20,34,12
20,35,4
20,36,8
20,37,3
20,38,4
20,39,7
20,40,4
20,41,4
20,42,6
20,43,9
20,44,4
20,45,7
20,46,7
20,47,8
20,48,7
20,49,8
20,50,3
30,1,8
30,2,5
30,3,5
30,4,6
30,5,5
30,6,5
30,7,6
30,8,4
30,9,6
30,10,5
30,11,9
30,12,6
30,13,4
30,14,6
30,15,8
30,16,5
30,17,7
30,18,7
30,19,10
30,20,7
30,21,5
30,22,7
30,23,5
30,24,7
30,25,5
30,26,8
30,27,7
30,28,5
30,29,7
30,30,6
30,31,6
30,32,5
30,33,9
30,34,4
30,35,4
30,36,5
30,37,6
30,38,5
30,39,7
30,40,8
30,41,4
30,42,8
30,43,5
30,44,6
30,45,11
30,46,9
30,47,9
30,48,5
30,49,5
30,50,6
40,1,7
40,2,6
40,3,6
40,4,6
40,5,5
40,6,5
40,7,7
40,8,6
40,9,5
40,10,5
40,11,7
40,12,4
40,13,14
40,14,6
40,15,5
40,16,6
40,17,6
40,18,6
40,19,9
40,20,4
40,21,5
40,22,5
40,23,6
40,24,5
40,25,8
40,26,9
40,27,8
40,28,7
40,29,6
40,30,5
40,31,6
40,32,5
40,33,8
40,34,8
40,35,5
40,36,7
40,37,10
40,38,7
40,39,4
40,40,5
40,41,7
40,42,7
40,43,9
40,44,5
40,45,6
40,46,8
40,47,7
40,48,6
40,49,5
40,50,6
50,1,5
50,2,8
50,3,8
50,4,6
50,5,6
50,6,8
50,7,8
50,8,6
50,9,6
50,10,6
50,11,7
50,12,8
50,13,5
50,14,6
50,15,6
50,16,8
50,17,6
50,18,6
50,19,6
50,20,7
50,21,9
50,22,6
50,23,4
